Target Word,TREC_Category,Condition,Occurrence Probability,Chunk Category
in,DESC,Without Perturbation (Control),0.58,Unknown
in,DESC,With Perturbation,0.92,Unknown
the,DESC,Without Perturbation (Control),0.92,Unknown
the,DESC,With Perturbation,0.9,Unknown
be,DESC,Without Perturbation (Control),0.16,Unknown
be,DESC,With Perturbation,0.5,Unknown
to,DESC,Without Perturbation (Control),0.58,Unknown
to,DESC,With Perturbation,0.74,Unknown
of,DESC,Without Perturbation (Control),0.7,Unknown
of,DESC,With Perturbation,0.34,Unknown
and,DESC,Without Perturbation (Control),0.58,Unknown
and,DESC,With Perturbation,0.76,Unknown
a,DESC,Without Perturbation (Control),0.76,Unknown
a,DESC,With Perturbation,0.92,Unknown
that,DESC,Without Perturbation (Control),0.44,Unknown
that,DESC,With Perturbation,0.8,Unknown
have,DESC,Without Perturbation (Control),0.18,Unknown
have,DESC,With Perturbation,0.56,Unknown
it,DESC,Without Perturbation (Control),0.64,Unknown
it,DESC,With Perturbation,0.54,Unknown
with,DESC,Without Perturbation (Control),0.2,Unknown
with,DESC,With Perturbation,0.7,Unknown
they,DESC,Without Perturbation (Control),0.16,Unknown
they,DESC,With Perturbation,0.66,Unknown
we,DESC,Without Perturbation (Control),0.06,Unknown
we,DESC,With Perturbation,0.1,Unknown
who,DESC,Without Perturbation (Control),0.18,Unknown
who,DESC,With Perturbation,0.76,Unknown
can,DESC,Without Perturbation (Control),0.26,Unknown
can,DESC,With Perturbation,0.56,Unknown
people,DESC,Without Perturbation (Control),0.1,Unknown
people,DESC,With Perturbation,0.6,Unknown
us,DESC,Without Perturbation (Control),0.04,Unknown
us,DESC,With Perturbation,0.36,Unknown
DT,DESC,Without Perturbation (Control),0.0,Unknown
DT,DESC,With Perturbation,0.0,Unknown
IN,DESC,Without Perturbation (Control),0.62,Unknown
IN,DESC,With Perturbation,0.54,Unknown
NN,DESC,Without Perturbation (Control),0.0,Unknown
NN,DESC,With Perturbation,0.0,Unknown
cheese,DESC,Without Perturbation (Control),0.0,Unknown
cheese,DESC,With Perturbation,0.84,Unknown
cake,DESC,Without Perturbation (Control),0.0,Unknown
cake,DESC,With Perturbation,0.84,Unknown
cheesecake,DESC,Without Perturbation (Control),0.0,Unknown
cheesecake,DESC,With Perturbation,0.1,Unknown
Llama3,DESC,Without Perturbation (Control),0.0,Unknown
Llama3,DESC,With Perturbation,0.0,Unknown
3 llamas,DESC,Without Perturbation (Control),0.0,Unknown
3 llamas,DESC,With Perturbation,0.0,Unknown
3,DESC,Without Perturbation (Control),0.04,Unknown
3,DESC,With Perturbation,0.32,Unknown
llama,DESC,Without Perturbation (Control),0.0,Unknown
llama,DESC,With Perturbation,0.68,Unknown
I,DESC,Without Perturbation (Control),0.12,Unknown
I,DESC,With Perturbation,0.82,Unknown
for,DESC,Without Perturbation (Control),0.36,Unknown
for,DESC,With Perturbation,0.74,Unknown
not,DESC,Without Perturbation (Control),0.18,Unknown
not,DESC,With Perturbation,0.72,Unknown
on,DESC,Without Perturbation (Control),0.22,Unknown
on,DESC,With Perturbation,0.42,Unknown
he,DESC,Without Perturbation (Control),0.08,Unknown
he,DESC,With Perturbation,0.1,Unknown
as,DESC,Without Perturbation (Control),0.16,Unknown
as,DESC,With Perturbation,0.5,Unknown
you,DESC,Without Perturbation (Control),0.2,Unknown
you,DESC,With Perturbation,0.26,Unknown
do,DESC,Without Perturbation (Control),0.18,Unknown
do,DESC,With Perturbation,0.3,Unknown
at,DESC,Without Perturbation (Control),0.04,Unknown
at,DESC,With Perturbation,0.08,Unknown
this,DESC,Without Perturbation (Control),0.14,Unknown
this,DESC,With Perturbation,0.14,Unknown
but,DESC,Without Perturbation (Control),0.14,Unknown
but,DESC,With Perturbation,0.7,Unknown
his,DESC,Without Perturbation (Control),0.04,Unknown
his,DESC,With Perturbation,0.6,Unknown
by,DESC,Without Perturbation (Control),0.36,Unknown
by,DESC,With Perturbation,0.66,Unknown
from,DESC,Without Perturbation (Control),0.18,Unknown
from,DESC,With Perturbation,0.66,Unknown
say,DESC,Without Perturbation (Control),0.04,Unknown
say,DESC,With Perturbation,0.6,Unknown
her,DESC,Without Perturbation (Control),0.0,Unknown
her,DESC,With Perturbation,0.02,Unknown
she,DESC,Without Perturbation (Control),0.0,Unknown
she,DESC,With Perturbation,0.6,Unknown
or,DESC,Without Perturbation (Control),0.3,Unknown
or,DESC,With Perturbation,0.34,Unknown
an,DESC,Without Perturbation (Control),0.18,Unknown
an,DESC,With Perturbation,0.72,Unknown
will,DESC,Without Perturbation (Control),0.08,Unknown
will,DESC,With Perturbation,0.5,Unknown
my,DESC,Without Perturbation (Control),0.0,Unknown
my,DESC,With Perturbation,0.04,Unknown
one,DESC,Without Perturbation (Control),0.14,Unknown
one,DESC,With Perturbation,0.12,Unknown
all,DESC,Without Perturbation (Control),0.0,Unknown
all,DESC,With Perturbation,0.68,Unknown
would,DESC,Without Perturbation (Control),0.0,Unknown
would,DESC,With Perturbation,0.06,Unknown
there,DESC,Without Perturbation (Control),0.14,Unknown
there,DESC,With Perturbation,0.74,Unknown
their,DESC,Without Perturbation (Control),0.06,Unknown
their,DESC,With Perturbation,0.06,Unknown
what,DESC,Without Perturbation (Control),0.58,Unknown
what,DESC,With Perturbation,0.72,Unknown
so,DESC,Without Perturbation (Control),0.12,Unknown
so,DESC,With Perturbation,0.54,Unknown
up,DESC,Without Perturbation (Control),0.02,Unknown
up,DESC,With Perturbation,0.4,Unknown
out,DESC,Without Perturbation (Control),0.04,Unknown
out,DESC,With Perturbation,0.66,Unknown
if,DESC,Without Perturbation (Control),0.16,Unknown
if,DESC,With Perturbation,0.16,Unknown
about,DESC,Without Perturbation (Control),0.14,Unknown
about,DESC,With Perturbation,0.62,Unknown
.,DESC,Without Perturbation (Control),0.06,Unknown
.,DESC,With Perturbation,0.08,Unknown
wanted,DESC,Without Perturbation (Control),0.02,Unknown
wanted,DESC,With Perturbation,0.56,Unknown
school,DESC,Without Perturbation (Control),0.0,Unknown
school,DESC,With Perturbation,0.84,Unknown
friends,DESC,Without Perturbation (Control),0.0,Unknown
friends,DESC,With Perturbation,0.48,Unknown
family,DESC,Without Perturbation (Control),0.0,Unknown
family,DESC,With Perturbation,0.58,Unknown
needed,DESC,Without Perturbation (Control),0.0,Unknown
needed,DESC,With Perturbation,0.28,Unknown
birthday,DESC,Without Perturbation (Control),0.0,Unknown
birthday,DESC,With Perturbation,0.74,Unknown
walking,DESC,Without Perturbation (Control),0.0,Unknown
walking,DESC,With Perturbation,0.68,Unknown
christmas,DESC,Without Perturbation (Control),0.0,Unknown
christmas,DESC,With Perturbation,0.68,Unknown
playing,DESC,Without Perturbation (Control),0.0,Unknown
playing,DESC,With Perturbation,0.52,Unknown
morning,DESC,Without Perturbation (Control),0.0,Unknown
morning,DESC,With Perturbation,0.38,Unknown
really,DESC,Without Perturbation (Control),0.0,Unknown
really,DESC,With Perturbation,0.54,Unknown
bought,DESC,Without Perturbation (Control),0.0,Unknown
